personLabel	birthDate	startDate	groupBirthPlaceLabel	groupGenreLabels	groupLabelLabels
Dhani Lennevald	1984-07-24	1998		Pop music|R&B	Universal Records
Anabela Atijas	1975-01-26	1993	Goražde	Pop music	City Records
Hiili Hiilesmaa	1966-12-24	1995		Alternative metal|Black metal|Death-doom|Doom metal|Folk metal|Gothic rock|Hard rock|Industrial metal|Melodic death metal|Progressive metal|Shock rock|Sludge metal	
Mahendra Kapoor	1934-01-09	1956	Amritsar	Playback singing	
Mme Sicard					
Kat Nestel	1990-04-03	2008		Pop music|Rock music	
Mark Cawthra	1961-04-28	1976			
David Phelps (musician)	1969-10-21	1994		Christian music|Southern gospel	Word Entertainment
Josef Janíček	1947-12-26		Prague		
Erica Buettner				Folk music	
J. Moss	1971-09-22	1996	Detroit	Gospel music|Hip hop music|Rhythm and blues|Soul music	GospoCentric Records|Island Records
Vicky D		1981		Boogie (genre)|Garage house	SAM Records|Virgin Records
Marianna Bottini			Lucca		
Surianne				Flamenco music|Latin music (genre)|Rock music	
Lenny Zakatek	1947-07-29	1964	Karachi	Blues|Disco|Funk|Pop music|R&B|Rock music|Soul music	A&M Records|EMI Records
Martha Masters (musician)					
Taryn Southern	1986-07-16		Wichita, Kansas		
Matty Mullins	1988-07-03	2008		Metalcore|Pop rock|Post-hardcore	Rise Records|Trustkill Records
Craig Campbell (singer)	1979-02-10	2002	Lyons, Georgia	Country music	Bigger Picture Music Group|Broken Bow Records
Abeer Nehme	1980-05-19			Syriac sacral music	
Gerhard Markson		1970			Naxos Records
Mizuki Fukumura	1996-10-30	2008	Tokyo	Pop music	Pony Canyon|Zetima
Kashif Ali	1992-11-04	1997			Fire Records (Pakistan)
Brian Robertson	1956-02-12	1974		Blues rock|Hard rock|Heavy metal music|Rock and roll	
Cris Bonacci	1964-10-15	1977	Melbourne	Hard rock|Heavy metal music	
Milo Hrnić	1950-02-03	1980	Dubrovnik		
Vincent Henry		1970	New York City	Jazz|R&B	
Jerzy Lefeld					
Andrew Lauder (music executive)		1967		Hard Rock|Krautrock|Pop music|Pub rock (United Kingdom)	
Carrie Brownstein	1974-09-27	1993	Seattle	Indie rock|Punk rock|Riot grrrl	
Andrew Irvine (bassist)		1990			
Joseph Dupont (violinist)	1838-01-13	1863	Verviers	Classical Music	
Rolf Köhler	1951-05-24	1977	Hamburg		BMG|Universal Music
Hamish Moore					
James Rhodes (pianist)	1975-03-06	2009		Classical music	Warner Bros. Records
Jenny Wilson (singer)	1975-10-23				
Sam Cutler		1965		Rock and Roll	
Michelle Schmitt				Americana (music)|Folk Rock|Pop music	
Celeda	1970-11-17		Chicago		
Manuel García (singer-songwriter)	1970-03-01	1995		Acoustic music|Folk music|Trova	
Cam Pipes				Black metal|Heavy metal music|Power metal|Thrash metal	Century Media|Roadrunner Records
Ethan Farmer		1998	Chicago	Funk|Gospel|Jazz|Jazz fusion|Latin American music|Pop music|Rhythm and blues|Rock music	
Takayoshi Tanimoto	1975-04-14		Kure, Hiroshima		
Lesley Gore	1946-05-02	1963	Brooklyn|New York City		
Red Top Young	1936-02-15	1950		Blues|Country music|Jazz|Rhythm and Blues|Rock n Roll	Mercury Records
Sensato del Patio		2008		Hip hop music|Latin American music	
Donnie Scantz	1976-02-22	1999		Hip hop music|Pop music|R&B|Rock music	
Adrian Chirtea	1996-12-30	2011			
Davy Carton	1959-04-10	1970		Folk music|Roots rock	
Bryan Webb	1977-06-22	1995		Indie rock	
Gigi D'Alessio	1967-02-24	1992		Music of Naples|Pop music	
Arno Santamaria	1978-11-09			French pop|Nouvelle Chanson	Capitol Records|My Major Company
Rafael Barreto (singer)	1985-10-21	2008		Pop music	Sony Music Entertainment
Daniel Kandi	1983-11-29	2000	Aalborg	Trance music	Anjunabeats|Armada Music
Derrick Edmondson		1992		Jazz|Pop music|R&B|Soul music	
Juan Cirerol	1987-06-08	2006	Mexicali	Folk music	Vale Vergas Discos
Martin Fröst	1970-12-14		Sundsvall	Chamber music|Classical music|Contemporary music	
John Carter Cash	1970-03-03	1985	Nashville, Tennessee	Country music	
Pablo Elorza	1982-06-10	2004	Villa María	Argentine tango|Jazz|Jazz fusion|World Music	
Andrew Heringer	1984-11-28		Sacramento, California	Folk music	Atlantic Records|Chop Shop Records
Desi Dobreva	1981-03-29	2001	Varna	Pop music	
Jaibi	1943-02-06	1964		R&B|Soul music	Kapp Records
Pablo Portillo	1984-04-08				
Raman Kalyan				Carnatic music|Instrumental	
Paula Kelley		1994		Pop music|Rock music	
Dylan Taylor (Jazz Bassist)	1960-03-29	1985	Norfolk, Virginia	Afro Cuban|Jazz|Jazz Fusion	
Thurzday		2006		Hip hop music|Trip hop	
Z-Ro	1977-01-19	1994	Houston	Hip hop music	Asylum Records|Rap-a-Lot Records
Steven Adams (musician)		2014		Indie rock|Rock music	Fortuna Pop!
Mike Cooley (musician)		1985		Alternative country|Rock music|Soul music	ATO Records
Little Nikki	1996-03-05	2009			Mercury Records
Al Schmitt	1930-04-17	1957	Brooklyn		Capitol Records
Rick Marotta				Jazz|Pop music|Rock music	
Geron Davis	1964-12-01	1994		Contemporary Christian music|Gospel music	
Moisés Torrealba	1978-01-05			Music of Venezuela	
Samira Said	1958-01-10	1975	Rabat	Arabic music|Pop music	Alam El Phan|Mazzika|Rotana Records
Majek Fashek		1980	Benin City	Reggae|Rock music|Roots reggae	Interscope Records
Tonny Koeswoyo	1936-01-19	1962		Pop music|Rock music	
Toby MacFarlaine	1975-11-28	1999	Oxford	Alternative rock|Grunge|Heavy metal music	
Vashanth Sellathurai		1986		Film score|World music	
Sally Carr	1945-03-28	1970		Pop music	Ariola Records|RCA Records
Lady Saw	1972-07-12	1987		Dancehall|Gospel music|Reggae|Rhythm and blues|Soul music	VP Records
Therese Merkel	1970-04-18			Pop music	
Sean Conlon	1981-05-20	1997	Leeds	Contemporary R&B|Dance-pop|Pop music	
Colin Hodgkinson	1945-10-14	1966	Peterborough	Blues music|Blues rock|Jazz|Post bop	
Gary Talley	1947-08-17		Memphis, Tennessee	Blue-eyed soul|Blues|Indie rock|Rock 'n' roll	
Erlend Apneseth	1990-08-11		Kristiansand		
Max Steiner			Vienna		
Guy Penrod	1963-07-02	1988	Taylor, Texas	Christian music|Southern gospel	
Mohammed Rafi	1924-12-24	1944		Bhajan|Ghazal|Indian classical music|Playback singing|Qawwali|Thumri|Western culture	
Freaky Tah	1971-05-14	1994	Queens	Hip hop music	Universal Records
Jones (singer)		2015		Alternative pop|Indie music|Jazz|R&B|Soul music	
Dixie Dunbar	1919-01-19	1934	Montgomery, Alabama		
Elmo Lovano	1984-07-23	2000	Los Angeles	Dubstep|Electronic music|Hip hop|Jazz|Progressive music	
Tika Bhandari					
Joby Talbot	1971-08-25				
Paul Kossoff	1950-09-14	1968		Blues|Blues rock|Hard rock	
Erik Wroldsen	1973-03-19			Industrial metal	
King Girado	1979-04-14	2004	Metro Manila|Pasay	Acoustic music|Contemporary R&B|Pinoy pop	Star Records
Barlow (musician)		2003		Pop rock	Epic Records
Lotta Engberg	1963-03-05	1980		Dansband|Musical theatre|Pop music|Schlager	
Mike Chlasciak	1971-12-24	1988		Heavy metal music	
Satoshi Ohno	1980-11-26	1994	Mitaka, Tokyo	Pop music	J Storm|Pony Canyon
Vinylz	1989-09-02	2007	New York City	Hip hop music|Rhythm and blues|Trap music	Sony ATV
Clementina de Jesus	1901-02-07	1963		Samba	
Pietro Generali	1773-10-23		Rome		
Heather Nova	1967-07-06	1990		Alternative rock	The WORK Group|V2 Records
Marinko Rokvić	1954-01-27	1974		Folk music|Pop-folk	Diskos|Diskoton|Grand Production|PGP-RTB
Edicson Ruiz	1985-05-11	1996	Caracas	Classical music	
Carroll Baker (singer)	1949-03-04	1970		Country music	Columbia Records
Priscilla Chan (singer)		1983		Cantopop	Cinepoly|Polygram|Universal Music Group
Eleanor Joanne Daley	1955-04-21	1982		Choral music|Church music	
Hopeton Lewis	1947-10-03	1960	Kingston, Jamaica	Reggae	
That 1 Guy		1990		Experimental music|Funk|Jazz	Righteous Babe Records
Beau (guitarist)		1969	Leeds	Electronica|Folk music|Psychedelic folk	Angel Air Records|Cherry Red Records|Dandelion Records|See For Miles Records
Charles Smith (songwriter)				Contemporary R&B|Hip hop music|Pop music	
Elchin Azizov	1975-08-13	1992			
Jon Redwine		2003		Hip Hop music|R&B	
Keith Relf	1943-03-22	1956		Blues|Blues rock|Folk rock|Hard rock|Progressive rock|Psychedelic rock	
Ferras	1982-07-02	2007	Gillespie, Illinois	Piano rock|Pop music|Pop rock|Rock music|Soft rock	Capitol Records|EMI|Metamorphosis Music
Jonathan David Brown	1955-11-20	1974			
Gloria Wood	1923-09-08		Medford, Massachusetts		
Anuhea Jenkins	1985-12-10			Folk rock|Hawaii	
Jim Steinman	1947-11-01	1969	Claremont, California	Musical theatre|Pop music|Rock music	
Sin With Sebastian		1992		Eurodance	
Dieter Bohlen	1954-02-07	1978		Euro disco|Eurodance|Europop|Pop music|Synthpop	Bertelsmann Music Group
Esther Farinde	1984-02-19	2006		Contemporary R&B|Gospel music|Soul music|Urban contemporary gospel	
Issa Bagayogo		1998		World Music	
Adira	1991-09-19	2010			
Teppo Hauta-aho	1941-05-27			Jazz|Western classical music	
S. Rajeswara Rao	1922-10-11	1934		Cinema of India	
Humberto Gatica		1973	Rancagua	Jazz|Latin music (genre)|Pop music|R&B|Rock music	
Aimer	1990-07-09	2011	Kumamoto	J-Pop	Defstar Records
Cody Canada	1976-05-25	1994		Alternative country|Blues rock|Red Dirt (music)|Southern rock	
Nasty Nigel (rapper)	1989-09-27	2009	Queens	Hip hop music	Fool's Gold Records
Mig Ayesa	1970-01-12	1999	Manila		Decca Records
Nguyễn Thùy Lâm	1987-09-10		Pangkal Pinang|Thái Bình		
Lena Zavaroni	1963-11-04	1974			
Jon B.	1974-11-11	1994	Providence, Rhode Island	Contemporary R&B|Soul music|Urban contemporary	550 Music|Entertainment One Music|Sanctuary Records
Ernie Halter		2005		Singer/songwriter	
Lyndon Needs		1970		Rockabilly|Teddy Boy	
Gareth Jones (music producer)					
Lorraine Feather	1948-09-10	1992	Manhattan	Jazz	Concord Jazz|Sanctuary Records
Grégory Lemarchal	1983-05-13	2004		Pop-rock	Universal Music Group
Guesch Patti	1946-03-16	1984			
Tom Strohman		1974	Lebanon, Pennsylvania	Classical Music|Jazz|Rock Music|Soul Music	
Romina Daniele	1980-02-08	2005		Blues|Contemporary classical music|Electro-acoustic|Electronic music|Experimental music|Rhythm and blues	
Lyrical Son	1984-01-28	1999	Pristina	Hip hop music	
Rebekah Delgado		2001		Pop rock	
Ayinde Bakare		1930	Lagos	Highlife|Jùjú music	Melodisc Records
Kaoru Abe	1949-05-05		Kawasaki, Kanagawa	Avant-garde music|Free jazz	DIW Records
Annastasia Baker	1988-11-16	2008		Contemporary R&B|Gospel music|Soul music	
Gary Grainger		1972		Blues rock	
Kenneth Kapstad	1966-10-26				Jazzaway Records
Denzil Remedios		2010			Avex Group
Young Dro	1979-01-15	1999	Atlanta	Hip hop music	Atlantic Records|E1 Music|Grand Hustle Records
Rob Cavallo	1963-03-21	1980		Alternative rock|Pop music|Rock music	
Clif Magness		1973		Adult contemporary music|Alternative rock|Folk pop|Pop music|Rock music	
Hank Ballard	1927-11-18	1951	Detroit	Rhythm and blues|Rock and roll	Federal Records|King Records (USA)|People Records
Rico (Scottish singer)		1999	Glasgow	Industrial rock	
William B. Friedlander	1884-01-12				
Mendy Portnoy	1992-04-16	2010	Manchester	Folk rock|Jewish music|Pop rock	
Svein Magnus Furu	1983-11-10			Jazz	
Steve Taylor	1957-12-09	1980	Brawley, California		
Mr. Doctor		1987		Gothic rock|Progressive rock|Symphonic rock	
Jeff Bass	1961-05-16		Shaker Heights, Ohio	Hip hop music|R&B	
Rodney Griffin		1989		Christian music	
Mo'Cheddah	1990-10-16	2009	Lagos	Hip hop music	
Nump		2004		Hip hop music|Hyphy	
Gary Richrath	1949-10-18	1970	Peoria, Illinois	Hard rock|Pop rock|Rock music	
Andrew Lowe Watson					
Javier Colon	1978-04-29	1999		Acoustic music|Contemporary R&B|Folk music|Funk music|Neo-soul|Rock music|Soul music	Capitol Records|Concord Music Group|Universal Republic Records
Demetra Plakas	1960-11-09	1982	Chicago	Alternative metal|Alternative rock|Grunge|Heavy metal music|Punk rock|Riot grrrl	Epitaph Records|Sub Pop
Rui da Silva	1968-04-25	1992		House music	
Billy Squier	1950-05-12	1968		Hard rock|Rock music	Capitol Records
Zia McCabe	1975-06-02	1995		Alternative rock|Country music	
Annemie Coenen	1978-07-14				
Cardinal Zen (musician)		2002		Deep house|Downtempo|Electronica|Minimal techno|Trip hop	
Richard Grossman (bassist)		1976		Rock music	
Jason Mercury	1986-12-12	2008		Death metal|Power metal|Progressive metal|Thrash metal	
Chris Taylor (Grizzly Bear musician)	1981-08-29		Seattle		Terrible Records|Warp Records
Richard M. Sherman	1928-06-12	1950	New York City		
Maggie Ferguson		1996		Tango music	
Dub FX	1983-06-11	2005		Beatboxing|Drum and bass|Dub music|Dubstep|Hip hop music|Reggae	
Magnus Eliassen	1981-01-02	1997		Fusion (music)|Pop music|R&B|Soul music	Beyond Records (Norway)|Smart Patrol Records
Judy Blair	1948-12-29	1966		Blues|Boogie|Jazz|Rhythm & blues	
Jean-Claude Borelly	1953-07-02	1975		Classical music|Easy listening|Instrumental	Delphine Records|Rock Records
José Miguel Class					
Nina Hynes		1998			
Elim Chan		2014			
Lina Mayer		2012	Košice	Pop music	
Chrissie Hynde	1951-09-07	1975	Akron, Ohio	New wave music|Punk rock|Rock music	Rhino Records|Sire Records|Warner Music Group
Cex (musician)		1998			Automation Records|Jade Tree (record label)|Tigerbeat6
Leslie Hunt	1982-03-23	2007		Jazz|Pop music|Progressive rock	
David Záizar			Tamazula de Gordiano	Mariachi|Ranchera	
Alathur Venkatesa Iyer				Carnatic music	
Philip Gbeho	1904-01-14				
BrandenBeatBoy		2010		Hip hop music	
Tony Tillman		2006	Camden, Arkansas	Christian hip hop|Urban contemporary gospel	
Winston Francis		1965		Reggae|Rocksteady	
Hakimakli		1992		Electronic dance music|House music|R&B	
Charytín Goyco	1954-05-23	1970			
Mike Marshall (musician)	1957-07-17	1979	New Castle, Pennsylvania	Bluegrass music|Jazz|New Acoustic Music	Compass Records|Rounder Records|Sony Classical|Windham Hill Records
Jack Body	1944-10-07				Atoll Records
Ali Tabatabaee	1973-02-27	1996	La Habra, California|Tehran	Punk rock|Rapcore	SPV GmbH|Sony Music Japan
Gian Piero Reverberi					
Sarmad Abdul Ghafoor	1975-11-05			Alternative rock|Pop music|Rock music	
Scott Cutler			Chicago	Alternative rock	
K (Indian composer)	1987-01-08	2010			
Sarah Dash	1945-08-18	1961	Trenton, New Jersey	Blues|Dance music|Disco|Funk|Funk rock|Hip hop music|Jazz|Rhythm and blues|Soul music	
Alexander Malinin	1958-11-16	1981	Yekaterinburg		
Eizo Sakamoto	1964-02-23		Nishinomiya	Heavy metal music	Avex|Lantis (company)|Sony Music Entertainment|Video and Audio Project
Mark Orton					
Aaron Accetta		2000		Contemporary R&B|Dance-pop|Electropop|Pop music|Pop rock	
Max Eider					
Nobuyuki Nakajima	1969-07-31	1995		Classical music|Film Music|Pop music	
RiskyKidd	1994-06-17	2012			
Licinio Refice					
Simon Fell		1970		Free improvisation	
The Shadow (rapper)	1977-11-21	1999		Hip hop music	Helicon Records
Pete Cummins			Dublin	Folk music|Rock music	
Clara Sofie	1981-03-16	2010		Pop music	Sony BMG
Susan Werner		1993	Manchester, Iowa	Folk music|Gospel music|Jazz	Bertelsmann Music Group|Koch Records|Private Music
Stephen Brown (composer)	1948-08-16		Nottingham		
Patricio Manns	1937-08-03	1959	Nacimiento, Chile	Folk music|Latin music (genre)|World music	CBS|Philips
Pukazhenthi	1927-09-27	1965	Thiruvananthapuram	Film score	
Robert Kinkel		1980	Buffalo, New York	Hard rock|Heavy metal music|Progressive rock|Symphonic metal	
Double-O		2000	Brooklyn	Hip hop music	Duck Down Records|Rawkus Records
Mike Harrison (musician)	1945-09-03	1960			
Eros Djarot	1950-07-22	1976			
Rynn Lim	1978-12-29			Mandopop	
Jasmin Bašić	1971-12-07	1994	Sarajevo	Cabaret|Classical Music|Musical theatre|Opera|Sevdalinka	
Tutu Jones	1966-09-09	1970	Dallas	Country blues|Electric blues|Soul blues	CD Baby|JSP Records|Rounder Records
Renato D'Aiello	1949-12-31	1986		Jazz	33 Jazz Records|Spotlite Records
Anne Ford	1737-02-22				
Emilio Navaira	1962-08-23	1983	San Antonio	Country music|Grupera|Norteño music|Tejano music	Ariola Records|Capitol Latin|Capitol Records|Discos CBS International|RCA Records
Kelly Tang		1982	Singapore	Classical music|Film Score|Jazz|Pop music	
Jon Cleary (musician)	1962-08-11	1980		Funk|R&B|Soul music	Ace Records (UK)|Basin Street Records|Virgin Records
Kamaiyah	1992-03-13		Oakland, California		Interscope Records
Mick Pyro				Blues|Funk rock|Hip hop music	
Leo Smit (American composer)					
Carol Bruce	1919-11-15	1937			
Daniel Powter	1971-02-25	1997	Vernon, British Columbia	Alternative rock|Piano rock|Pop rock	Avex Group|EMI|Outside Music|Warner Bros. Records
Raja Narayan Deb		2008		Film score	
D-Bo	1978-06-06			German hip hop	Ersguterjunge
Toni Baldwin	1995-12-18	2007		Alternative rock|Pop music	
Lina Rafn	1976-08-12	1997		Dance music|House music|Pop music|Trance music	Europa Recordings
Soulja Slim	1977-09-09	1992	New Orleans	Gangsta Rap|Hardcore Hip Hop|Southern hip hop	Koch Records|No Limit Records
Shannon Curtis		2006			
Shoji Kameda		2003			
Georg Haentzschel	1907-12-23		Berlin		
Vince DiFiore	1963-12-17		Torrance, California		
Sean Reinert	1971-05-27	1987	Long Beach, California	Progressive metal	
Francis Reyes	1967-06-20		Lipa, Batangas	Alternative rock|Experimental music|Jazz fusion|Pinoy rock|Progressive rock	
Jerome Teasley	1948-08-13	1963		Soul music	
Natasha Hamilton	1982-07-17	1999	Liverpool	Pop music|R&B	
Miklós Malek (musician)	1975-04-15	1990	Budapest	Dance music|Electronic music|New-age music|Pop music|R&B music	
Caroline Campbell				Classical music|Pop music|Rock Music	
Tony Terry	1964-03-12	1987		Contemporary R&B|New jack swing|Soul music	Epic Records|Spectra Music Group|Virgin Records
Jung Eun-ji	1993-08-18		Busan		
DJ Marfox		2002		Kuduro	
Tom Green	1971-07-30	1986	Pembroke, Ontario	Hip-hop music	Vik Recordings
Dušan Šestić			Banja Luka		
Yazz	1960-05-19	1988		Christian music|Funk	Big Life|Eastwest|Polydor
Palmy	1981-08-07	2001		Pop rock	
Pepita Emmerichs		2005	Melbourne	Bluegrass music|Country music|Folk music|Pop music	
Earle Hagen	1919-07-09	1939	Chicago		
Konstanze Eickhorst					
Eran James	1989-03-27	2004		Alternative music|Folk music|Pop music|Soul music	
Rob Rock		1983	Orlando, Florida	Christian metal|Christian rock|Hard rock|Heavy metal music|Neo-classical metal|Power metal|Speed metal|Symphonic metal	AFM Records|Massacre Records|Victor Talking Machine Company
Tim Roth (musician)	1975-12-06	1997		Melodic Death Metal|Power Metal|Progressive Death Metal	Century Media|DVS Records
Steve Miller (musician)	1943-10-05	1966	Milwaukee	Art rock|Blues rock|Rock music	
Manny Klein	1908-02-04		New York City	Jazz	
Masato Nakamura	1958-10-01	1988	Chōfu, Tokyo	Chiptune|J-Pop|Jazz	Universal Music Japan|Universal Republic Records
Jennifer Braun	1991-04-28			Pop music	Universal Records
Władysława Markiewiczówna					
Eric Vandenberg	1977-05-11	1995	Atlanta	Hard rock|Heavy metal music|Instrumental rock	
Carolin Widmann			Munich	Classical music	
Alexander Kostarev	1954-07-01	1976		Art rock|Experimental rock|Instrumental rock|Jazz fusion|Progressive rock|Psychedelic rock	
Chris Stapleton	1978-04-15	2000	Lexington, Kentucky	Bluegrass music|Country music|Outlaw country|Southern rock	Universal Music Group Nashville
Claude Abravanel				Classical period (music)	
Nelson Gonçalves	1919-06-21	1941	Santana do Livramento	Samba|Samba-canção	
Adam Levy	1966-11-27	1990	Los Angeles	Blues|Country music|Folk music|Jazz|Pop music|Soul music	
Jana McCall		1990		Folk music|Pop music|Rock music	Up Records
Armenia in the Junior Eurovision Song Contest 2015					
Debora Petrina			Cittadella		
LaVan Davis	1966-09-21	2003	Atlanta		
Herbert Schwamborn		1989	Harare	Electronic music|Hip hop music	Gandanga Music Zimbabwe
Bacil	1981-02-06	1996		Hip Hop music|Pop music	
Alex Kahsay				Tigrigna	
Michael Joseph Smith	1938-08-13				
Z-Star				Blues rock|Disco|Funk|Psychedelic rock	
Alison Statton		1978	Cardiff	Jazz|New wave music|Post punk	Les Disques du Crépuscule|Rough Trade Records
List of Hurd band members	1973-12-28	1991			
Andrea Robinson (singer)		1978			
Yasuhiro Yoshigaki				Free improvisation	
Eva Avila	1987-02-25	2006	Gatineau	Pop music|Rhythm and blues	E1 Entertainment Canada|Sony Music Canada
Michael Moran (music producer)	1948-03-04	1960	Leeds		
Dusty Springfield	1939-04-16	1958		Blue-eyed soul|Pop music|Rhythm and blues	
Tico Santa Cruz	1977-09-30		Rio de Janeiro	Alternative rock|Garage rock|Hard rock|Post-punk|Psychedelic rock	
Haiducii	1977-06-14	2004	Bucharest	Europop|Trance music	
Justin Connolly					
Monika Rost					
Sébastien Dubé	1966-09-03			Classical music|Jazz|Traditional folk music	
Kosmonova	1970-04-08		Krefeld		
Chris Mosdell		1976			Sony Music Japan
Plume Latraverse	1946-05-11	1970	Montreal	Blues|Folk music|Rock music	
Brent Anderson (singer)		2011	Pascagoula, Mississippi	Country music	Arista Nashville
Victoria Shaw (singer)	1962-07-13	1983	Manhattan	Country music	Reprise Records
Cyndee Peters	1946-09-08	1973		Gospel music	
Takahito Eguchi	1971-08-28	1995	Nagasaki	Electronic music|Jazz|Orchestral	Sega Digital Studio
Buddhadev Das Gupta	1933-02-01		Bhagalpur		
Christina Aguilar	1966-10-31	1990		Dance music|Pop music	GMM Grammy
Luke Combs	1990-03-02	2014	Charlotte, North Carolina	Country music	
Dwane Husbands	1985-07-24	2006		Contemporary R&B|Pop music|Reggae	Def Jam
Kat Williams	1964-02-24	1972		Blues music|Jazz music	
Cathy Basrak				Classical music	Cedille Records
Brady Seals	1969-03-29	1988		Country music	Image Entertainment|Reprise Records|Warner Bros. Records
Anders Fridén	1973-03-25	1989	Gothenburg	Alternative metal|Melodic death metal	Ferret Music|Nuclear Blast
Bri (Briana Babineaux)	1994-08-26	2014	Honolulu	Urban contemporary gospel	Tyscot Records
Pete McCracken				Classical music|Rock music	
Dre Allen	1975-04-18	1991		R & B	No Limit Records|Priority Records
Steve Brookstein	1968-11-10	1997		Blue-eyed soul|Jazz	Pledge Music|Syco Music
Chikezie	1985-09-11	2007	Inglewood, California	R&B|Soul music	
Cristian Soleanu				Jazz	
Larry Levan	1954-07-20		Brooklyn|New York City	Club music|Garage house|House music|Post-disco	
Igor Saavedra	1966-05-31	1988		Funk|Jazz|Jazz fusion|Rhythm and blues|Smooth jazz	
Bobby Bones	1980-04-02		Hot Springs, Arkansas		
Elli Kokkinou	1970-07-24			Dance-pop|Folk music|Laïka	Heaven Music|Sony Music|The Spicy Effect
Gloria D. Brown			Montgomery, Alabama	Funk|Pop music|Rhythm and blues|Soul music	
Tony Cupito		1994			
Jennifer Rush	1960-09-28	1979	Queens	Adult contemporary music|Dance-rock|Pop music|Pop rock	Columbia Records
Brent Mason	1959-07-13	1986	Van Wert, Ohio	Country music	
Tiff Joy	1986-04-07	2014		Urban contemporary gospel	Tyscot Records
Teddy Blass	1984-04-16	2008		Film scores	
Armande de Polignac					
Joe Negroni	1940-09-09	1955	New York City	Rock and Roll	
Asad Ahmed	1971-07-21	1988		Hard rock|Heavy metal music	
Blake McGrath	1983-11-21		Mississauga		
Lzzy Hale	1984-10-10	1997		Hard rock	
Thomas Preston (composer)					
Johnny Ross		1960		Blues music|R&B|Soul (music)|Soul music	
Chuckii Booker	1966-12-19	1984	Los Angeles	Contemporary R&B|New jack swing	Atlantic Records
Gerry Conway (musician)	1947-09-11	1970		Electric folk|Folk music|Folk-rock	Island Records|Matty Grooves
Oryn the Rebel		2007		Hip hop music	
David Francolini	1969-09-13	1980		Alternative rock|Psychedelic rock	
Danen Kane	1979-12-11	2003		Christian alternative rock|Contemporary Christian music|Contemporary worship music	
Clint Bajakian		1991			
Ashleigh Ball	1983-03-31	2002	Vancouver		
Cal Tjader	1925-07-16	1948	St. Louis	Afro-Cuban jazz|Beautiful music|Bebop|Jazz|Latin jazz	Concord Records|Fantasy Records|Skye Records|Verve Records
John Cena	1977-04-23	1999		Hip hop music	Columbia Records|WWE Music Group
Will Oldham	1970-12-24	1993	Louisville, Kentucky	Alternative country|American folk music|Country music|Freak folk	Domino Records|Drag City (record label)
Mauro Refosco		1994	Joaçaba	Alternative rock|Electronica|Experimental rock|Forró|Funk rock|Intelligent dance music|Jazz	
Andrea England		2000		Folk rock	
Luigi Hugues	1836-10-27				
Lizzie Sider		2011		Country music|Pop music	
Victoria Williams	1958-12-23	1986	Shreveport, Louisiana	Alternative country|Country music|Folk music|Folk rock	Atlantic Records|Geffen Records|Mammoth Records|Thirsty Ear Recordings
Luna-C	1973-05-01	1992			
Marcus Turner	1956-02-16	1973			
Sibongiseni Shabalala	1972-05-20	1993	Ladysmith, KwaZulu-Natal		
Robert Kozyra		1995	Koszalin		
Johanna Ölander	1827-05-23				
Craig Douglas	1941-08-12	1959		Rock and roll	Columbia Graphophone Company|Decca Records|Top Rank Records
Shawn Pen		1987		Hip hop music	Capitol Records
Gashi (singer)	1990-06-29		Pristina	Rhythm and blues	
José Carbajal (Uruguayan musician)	1943-12-08			Popular music	
Meic Stevens	1942-03-13	1956		Blues|Country music|Folk music|Folk rock|Rock music	Crai|Fflach|Rhino Handmade|Sain|Tenth Planet|Warner Bros. Records|Wren
Louise Post	1966-12-07			Alternative rock	
Jean-Michel Soupraya	1973-04-25	1985		Bossa nova|Funk|Hip hop music|Jazz|Swing music|Traditional pop	
Romeo Challenger	1950-05-19	1971		Rock music	
Michael Penn	1958-08-01	1989		Alternative Pop/Rock	
Camané	1966-12-20			Fado	
Yonatan Gat		2006		Avant garde music|Free jazz|Musical improvisation|Psychedelic rock|Punk rock	Drag City Records|Joyful Noise Records
Melody Tan		2014			
Robert Ward (travel writer)					
Questlove	1971-01-20	1987	Philadelphia	Alternative hip hop|Hip hop music|Neo soul	Def Jam Recordings|Okayplayer
Martin Swope					
Nyck Caution	1994-01-16	2011	Brooklyn	Hip hop music	Cinematic Music Group|Pro Era Records
Theresa Merritt	1922-09-24	1969	Emporia, Virginia		
Jackie McLean	1931-05-17	1951	New York City	Avant-garde jazz|Bebop|Hard bop|Jazz fusion|Mainstream jazz|Modal jazz|Post-bop	
Pour Lui	1990-08-20	2009		Alternative Rock|J-pop|Pop Rock	
List of Hurd band members	1973-12-28	1992			
Ori Murray	1983-09-02	2002	Seattle	Alternative hip hop|Jewish hip hop|Jewish rock	
Siti Nurhaliza	1979-01-11	1995			
Ernie Henry	1926-09-03	1948	Brooklyn	Jazz	Riverside Records
Andrew E.	1967-07-30	1985	Parañaque	Pinoy hip hop|Pop-rap	
Dito Godwin		1975		Alternative rock|Blues|Country music|Hard rock|Heavy metal music|Pop music|Rock music	Atlantic Records|Capitol Records|EFM Records|Interscope|Sony|Universal Music|Virgin Records
Choo Jackson		2011	Vero Beach, Florida	Alternative hip hop	
Cristóbal Orellana	1983-07-11	1999		Pop-rock|Reggaeton|Rock music	Sony Music
Ulrik Neumann	1918-10-23	1940			
Chris Pitman	1961-02-25	1979	Independence, Missouri|Kansas City, Missouri	Alternative metal|Alternative rock|Electronica|Experimental rock|Hard rock	Geffen Records
